"","cellid","coretype","primary","secondary"
"1431","U02271409","Core","Igtp","0"
"1432","U02271410","Core","Igtp","0"
"1433","U02271411","Core","Sst Chodl","0"
"1434","U02271412","Core","Sst Chodl","0"
"1435","U02271413","Core","Igtp","0"
"1436","U02271414","Core","Sst Chodl","0"
"1437","U02271415","Core","Sst Chodl","0"
"1438","U02271416","Core","Sst Chodl","0"
"1439","U07011401","Core","Sst Chodl","0"
"1440","U07011402","Core","Sst Chodl","0"
"1441","U07011403","Core","Ndnf Car4","0"
"1442","U07011404","Core","Sst Chodl","0"
"1443","U07011405","Core","Sst Chodl","0"
"1444","U07011406","Core","Sst Chodl","0"
"1445","U11031414","Core","L2/3 Ptgs2","0"
"1446","U11031415","Core","Sst Chodl","0"
"1447","U11031416","Core","Sst Chodl","0"
"1448","U11031434","Core","L5a Pde1c","0"
"1449","U11031435","Transition","L5a Tcerg1l","L5a Pde1c"
"1450","U11031437","Transition","L5a Pde1c","L5a Batf3"
"1451","U11031438","Core","Sst Chodl","0"
"1452","U11031439","Transition","L5a Pde1c","L5a Batf3"
"1453","U11051401","Core","Igtp","0"
"1454","U11051402","Core","Sst Chodl","0"
"1455","U11051403","Core","L5a Pde1c","0"
"1456","U11051404","Core","L5a Pde1c","0"
"1457","U11051405","Core","Sst Chodl","0"
"1458","U11051406","Core","Smad3","0"
"1459","U11051407","Core","L6a Syt17","0"
"1460","U11051408","Transition","L6a Syt17","L5a Pde1c"
"1461","U11051409","Core","Sst Cbln4","0"
"1462","U11051410","Core","Smad3","0"
"1463","U11051411","Core","Igtp","0"
"1464","U11051412","Transition","L5a Pde1c","L5a Batf3"
"1465","U11051413","Transition","L2 Ngb","L2/3 Ptgs2"
"1466","U11051414","Core","Sst Chodl","0"
"1467","U11051415","Core","Ndnf Car4","0"
"1468","U11051416","Transition","L5a Pde1c","L5a Batf3"
"1469","U11051417","Core","Ndnf Car4","0"
"1470","U11051418","Core","Ndnf Car4","0"
"1471","U11051420","Core","L5a Pde1c","0"
"1472","U11051421","Core","Sst Chodl","0"
"1473","U11051422","Transition","L5a Pde1c","L5a Batf3"
"1474","U11051423","Core","Sst Chodl","0"
"1475","U11051424","Core","Sst Chodl","0"
"1476","U11051425","Core","Endo Myl9","0"
"1477","U11051426","Core","Ndnf Car4","0"
"1478","U11051427","Core","Sst Chodl","0"
"1479","U11051428","Core","Sst Chodl","0"
"1480","U11051429","Core","Sst Chodl","0"
"1481","U11051430","Core","L5a Pde1c","0"
"1482","U11051431","Core","Vip Chat","0"
"1483","U11051432","Core","L2 Ngb","0"
"1484","U11051438","Core","Sst Chodl","0"
"1485","U11051439","Core","Sst Chodl","0"
"1486","U11051440","Core","Sst Chodl","0"
"1487","U11051441","Core","L5a Batf3","0"
"1488","U11051442","Core","Endo Myl9","0"
"1489","U11051443","Core","Sst Chodl","0"
"1490","U11051444","Core","Sst Chodl","0"
"1491","U11051445","Core","Vip Chat","0"
"1492","U11051446","Core","Sst Chodl","0"
"1493","U11051447","Core","L2 Ngb","0"
"1494","U11051448","Transition","L4 Ctxn3","L2/3 Ptgs2"
"1495","V07071402","Core","Vip Parm1","0"
"1496","V07071403","Core","Vip Sncg","0"
"1497","V07071404","Core","Vip Sncg","0"
"1498","V07071405","Core","Vip Parm1","0"
"1499","V07071406","Transition","Vip Parm1","Vip Mybpc1"
"1500","V07071407","Core","Vip Parm1","0"
"1501","V07071409","Core","Vip Mybpc1","0"
"1502","V07071410","Core","Vip Parm1","0"
"1503","V07071411","Core","Vip Mybpc1","0"
"1504","V07071412","Core","Vip Chat","0"
"1505","V07071413","Core","Vip Parm1","0"
"1506","V07071414","Core","Vip Parm1","0"
"1507","V07071415","Core","Vip Mybpc1","0"
"1508","V07071416","Core","Vip Chat","0"
"1509","V07071417","Core","Vip Sncg","0"
"1510","V07071418","Core","Vip Parm1","0"
"1511","V07071419","Core","Vip Sncg","0"
"1512","V07071420","Core","Vip Gpc3","0"
"1513","V07071421","Transition","Vip Mybpc1","Vip Parm1"
"1514","V07071422","Core","Vip Mybpc1","0"
"1515","V07071423","Transition","Vip Mybpc1","Vip Parm1"
"1516","V07071424","Transition","Vip Gpc3","Vip Parm1"
"1517","V07071426","Core","Vip Sncg","0"
"1518","V07071427","Core","Vip Gpc3","0"
"1519","V07071428","Core","Vip Gpc3","0"
"1520","V07071429","Core","Vip Gpc3","0"
"1521","V07071430","Core","Vip Gpc3","0"
"1522","V07071431","Core","Vip Gpc3","0"
"1523","V07071432","Core","Vip Gpc3","0"
"1524","V07071433","Core","Vip Parm1","0"
"1525","V07071434","Core","Vip Gpc3","0"
"1526","V07071435","Core","Vip Gpc3","0"
"1527","V07071436","Core","Vip Gpc3","0"
"1528","V07071437","Core","Vip Gpc3","0"
"1529","V07071438","Core","Vip Gpc3","0"
"1530","V07071439","Core","Vip Gpc3","0"
"1531","V07071440","Core","Vip Gpc3","0"
"1532","V07071441","Core","Vip Gpc3","0"
"1533","V07071442","Core","Vip Gpc3","0"
"1534","V07071443","Transition","Vip Gpc3","Vip Chat"
"1535","V07071444","Core","Vip Chat","0"
"1536","V07071445","Core","Vip Gpc3","0"
"1537","V07071446","Core","Vip Gpc3","0"
"1538","V07071448","Transition","Vip Gpc3","Vip Parm1"
"1539","V07171401","Core","Vip Gpc3","0"
"1540","V07171402","Core","Vip Gpc3","0"
"1541","V07171403","Core","Vip Gpc3","0"
"1542","V07171404","Core","Vip Gpc3","0"
"1543","V07171405","Transition","Vip Gpc3","Vip Parm1"
"1544","V07171406","Core","Vip Gpc3","0"
"1545","V07171407","Core","Vip Gpc3","0"
"1546","V07171408","Core","Vip Gpc3","0"
"1547","V07211401","Core","Vip Parm1","0"
"1548","V07211402","Core","Vip Chat","0"
"1549","V07211403","Core","Vip Chat","0"
"1550","V07211404","Core","Vip Chat","0"
"1551","V07211405","Core","Vip Mybpc1","0"
"1552","V07211406","Core","Vip Chat","0"
"1553","V07211407","Core","Vip Chat","0"
"1554","V07211408","Core","Vip Parm1","0"
"1555","V07211409","Core","Vip Chat","0"
"1556","V07211410","Core","Vip Parm1","0"
"1557","V07211411","Core","Vip Parm1","0"
"1558","V07211412","Core","Vip Parm1","0"
"1559","V07211413","Core","Vip Mybpc1","0"
"1560","V07211414","Core","Vip Parm1","0"
"1561","V07211415","Core","Vip Gpc3","0"
"1562","V07211416","Core","Vip Parm1","0"
"1563","W01141517","Core","Pvalb Cpne5","0"
"1564","W01141518","Core","Pvalb Tacr3","0"
"1565","W01141519","Core","Pvalb Tpbg","0"
"1566","W01141520","Core","Pvalb Tacr3","0"
"1567","W01141521","Core","Pvalb Tpbg","0"
"1568","W01141522","Transition","Pvalb Tacr3","Igtp"
"1569","W01141523","Transition","Pvalb Tpbg","Pvalb Gpx3"
"1570","W01141524","Core","Pvalb Cpne5","0"
"1571","W01141525","Transition","Pvalb Tpbg","Pvalb Tacr3"
"1572","W01141526","Core","Pvalb Tacr3","0"
"1573","W01141527","Core","Pvalb Tacr3","0"
"1574","W01141528","Core","Pvalb Tpbg","0"
"1575","W01141529","Core","Pvalb Tacr3","0"
"1576","W01141530","Core","Igtp","0"
"1577","W01141531","Core","Pvalb Tpbg","0"
"1578","W01141532","Core","Pvalb Tpbg","0"
"1579","W01141533","Core","Pvalb Tpbg","0"
"1580","W01141534","Transition","Pvalb Wt1","Pvalb Tacr3"
"1581","W01141535","Core","Sst Cbln4","0"
"1582","W01141536","Core","Pvalb Cpne5","0"
"1583","W01141537","Core","Igtp","0"
"1584","W01141538","Core","Igtp","0"
"1585","Y01211501","Core","Pvalb Cpne5","0"
"1586","Y01211502","Core","Pvalb Tacr3","0"
"1587","Y01211503","Core","Pvalb Wt1","0"
"1588","Y01211504","Core","Pvalb Tacr3","0"
"1589","Y01211505","Core","Pvalb Wt1","0"
"1590","Y01211506","Core","Pvalb Tacr3","0"
"1591","Y01211507","Core","Pvalb Tacr3","0"
"1592","Y01211508","Core","Pvalb Tacr3","0"
"1593","Y01211509","Core","Pvalb Tacr3","0"
"1594","Y01211510","Core","Pvalb Tpbg","0"
"1595","Y01211511","Core","Pvalb Cpne5","0"
"1596","Y01211512","Transition","Pvalb Wt1","Pvalb Tacr3"
"1597","Y01211513","Core","Pvalb Wt1","0"
"1598","Y01211514","Core","Pvalb Wt1","0"
"1599","Y01211515","Transition","Pvalb Tpbg","Pvalb Tacr3"
"1600","Y01211516","Core","Pvalb Tacr3","0"
"1601","Y01211517","Core","Pvalb Wt1","0"
"1602","Y01211518","Core","Pvalb Tacr3","0"
"1603","Y01211519","Core","Pvalb Tacr3","0"
"1604","Y01211520","Transition","Pvalb Tpbg","Pvalb Tacr3"
"1605","Y01211521","Core","Pvalb Wt1","0"
"1606","Y01211522","Core","Pvalb Wt1","0"
"1607","Y01211523","Core","Pvalb Tpbg","0"
"1608","Y01211524","Core","Pvalb Tacr3","0"
"1609","Y01211525","Transition","Pvalb Gpx3","Pvalb Rspo2"
"1610","Y01211526","Core","Pvalb Wt1","0"
"1611","Y01211527","Core","Pvalb Rspo2","0"
"1612","Y01211528","Core","Pvalb Gpx3","0"
"1613","Y01211529","Core","Pvalb Tacr3","0"
"1614","Y01211530","Transition","Pvalb Gpx3","Pvalb Wt1"
"1615","Y01211531","Transition","Pvalb Gpx3","Pvalb Rspo2"
"1616","Y01211532","Core","Pvalb Wt1","0"
"1617","Y01211533","Core","Pvalb Rspo2","0"
"1618","Y01211534","Core","Pvalb Rspo2","0"
"1619","Y01211535","Core","Pvalb Wt1","0"
"1620","Y01211536","Core","Pvalb Gpx3","0"
"1621","Y01211537","Core","Pvalb Gpx3","0"
"1622","Y01211538","Transition","Pvalb Gpx3","Pvalb Tacr3"
"1623","Y01211539","Core","Pvalb Rspo2","0"
"1624","Y01211540","Core","Pvalb Wt1","0"
"1625","Y01211541","Core","Pvalb Rspo2","0"
"1626","Y01211542","Core","Pvalb Tacr3","0"
"1627","Y01211543","Transition","Pvalb Wt1","Pvalb Rspo2"
"1628","Y01211544","Transition","Pvalb Rspo2","Pvalb Gpx3"
