"","cellid","coretype","primary","secondary"
"131","C02061553n","Core","Micro Ctss","0"
"132","C02061554n","Core","Micro Ctss","0"
"133","C02061555n","Core","Astro Aqp4","0"
"134","C02061556n","Core","L2/3 Ptgs2","0"
"135","C02061557n","Core","Pvalb Tacr3","0"
"136","C02061558n","Core","Endo Xdh","0"
"137","C02061559n","Core","Astro Aqp4","0"
"138","C02061560n","Core","Micro Ctss","0"
"139","C02061561n","Core","Astro Aqp4","0"
"140","C02061562n","Core","L2/3 Ptgs2","0"
"141","C02061563n","Core","Micro Ctss","0"
"142","C06041401","Core","L2/3 Ptgs2","0"
"143","C06041402","Core","L5 Hsd11b1","0"
"144","C06041403","Core","L4 Scnn1a","0"
"145","C06041404","Core","L4 Ctxn3","0"
"146","C06041405","Core","L4 Ctxn3","0"
"147","C06041406","Core","L4 Ctxn3","0"
"148","C06041407","Core","L2/3 Ptgs2","0"
"149","C06041408","Core","L2/3 Ptgs2","0"
"150","C06041409","Core","L4 Scnn1a","0"
"151","C06041410","Core","L4 Ctxn3","0"
"152","C06041411","Core","L2/3 Ptgs2","0"
"153","C06041412","Transition","L4 Ctxn3","L4 Scnn1a"
"154","C06041413","Transition","L4 Scnn1a","L4 Ctxn3"
"155","C06041414","Core","L4 Ctxn3","0"
"156","C06041415","Core","L4 Arf5","0"
"157","C06041416","Transition","L4 Scnn1a","L4 Ctxn3"
"158","C06041417","Core","L2/3 Ptgs2","0"
"159","C06041418","Transition","L5 Hsd11b1","L4 Scnn1a"
"160","C06041419","Core","L2/3 Ptgs2","0"
"161","C06041420","Core","L2/3 Ptgs2","0"
"162","C06041421","Core","L4 Scnn1a","0"
"163","C06041422","Core","L5 Hsd11b1","0"
"164","C06041423","Core","L2/3 Ptgs2","0"
"165","C06041424","Core","L4 Ctxn3","0"
"166","C06041425","Core","L4 Scnn1a","0"
"167","C06041426","Core","L2/3 Ptgs2","0"
"168","C06041427","Core","L4 Arf5","0"
"169","C06041428","Core","L4 Arf5","0"
"170","C06041429","Core","L4 Ctxn3","0"
"171","C06041430","Core","L2/3 Ptgs2","0"
"172","C06041431","Core","L5 Hsd11b1","0"
"173","C06041432","Core","L4 Scnn1a","0"
"174","C06051401","Core","L2/3 Ptgs2","0"
"175","C06051402","Core","L4 Scnn1a","0"
"176","C06051403","Transition","L4 Arf5","L4 Ctxn3"
"177","C06051404","Core","L4 Ctxn3","0"
"178","C06051405","Core","L2/3 Ptgs2","0"
"179","C06051406","Core","L2/3 Ptgs2","0"
"180","C06051407","Core","L4 Ctxn3","0"
"181","C06051408","Core","L5 Hsd11b1","0"
"182","C07211401","Core","L2 Ngb","0"
"183","C07211402","Core","L2/3 Ptgs2","0"
"184","C07211403","Transition","L4 Scnn1a","L4 Ctxn3"
"185","C07211404","Core","L4 Ctxn3","0"
"186","C07211405","Core","L5 Hsd11b1","0"
"187","C07211406","Core","L2/3 Ptgs2","0"
"188","C07211407","Core","L4 Ctxn3","0"
"189","C07211408","Core","L4 Ctxn3","0"
"190","C07211409","Core","L2/3 Ptgs2","0"
"191","C07211410","Transition","L4 Scnn1a","L4 Ctxn3"
"192","C07211411","Core","L2/3 Ptgs2","0"
"193","C07211412","Core","L2/3 Ptgs2","0"
"194","C07211413","Core","L4 Ctxn3","0"
"195","C07211414","Core","L2/3 Ptgs2","0"
"196","C07211415","Core","Pvalb Tacr3","0"
"197","C07211416","Core","L4 Ctxn3","0"
"198","C07211417","Transition","L4 Ctxn3","L2/3 Ptgs2"
"199","C07211418","Core","L2/3 Ptgs2","0"
"200","C07211419","Core","L4 Ctxn3","0"
"201","C07211420","Core","L5a Tcerg1l","0"
"202","C07211421","Core","L4 Ctxn3","0"
"203","C07211422","Core","L4 Arf5","0"
"204","C07211423","Core","L2/3 Ptgs2","0"
"205","C07211424","Core","Sst Cbln4","0"
"206","C09111417","Core","L4 Ctxn3","0"
"207","C09111418","Core","L4 Ctxn3","0"
"208","C09111419","Core","L5a Tcerg1l","0"
"209","C09111420","Transition","L4 Scnn1a","L4 Ctxn3"
"210","C09111421","Core","L2/3 Ptgs2","0"
"211","C09111422","Core","L2/3 Ptgs2","0"
"212","C09111423","Core","L2/3 Ptgs2","0"
"213","C09111424","Transition","L4 Scnn1a","L4 Ctxn3"
"214","C09111428","Core","L2/3 Ptgs2","0"
"215","C09111429","Core","L4 Arf5","0"
"216","C09111430","Core","L5 Hsd11b1","0"
"217","C09111431","Core","L2/3 Ptgs2","0"
"218","C09111432","Transition","L5 Hsd11b1","L4 Arf5"
"219","C09111433","Core","Ndnf Car4","0"
"220","C09111434","Core","Ndnf Car4","0"
"221","C09111435","Transition","L2 Ngb","L2/3 Ptgs2"
"222","C09111436","Core","L4 Ctxn3","0"
"223","C09111438","Core","L2/3 Ptgs2","0"
"224","C09111439","Transition","L4 Ctxn3","L2/3 Ptgs2"
"225","C09111440","Core","L2/3 Ptgs2","0"
"226","C09111441","Core","L4 Ctxn3","0"
"227","C09111442","Transition","L2/3 Ptgs2","L2 Ngb"
"228","C09111443","Core","L2/3 Ptgs2","0"
"229","C09111444","Core","L2/3 Ptgs2","0"
"230","C09111445","Core","L2/3 Ptgs2","0"
"231","C09111446","Core","Sst Cbln4","0"
"232","C12181417","Core","L2/3 Ptgs2","0"
"233","C12181418","Core","L2/3 Ptgs2","0"
"234","C12181419","Core","L2/3 Ptgs2","0"
"235","C12181420","Core","L2/3 Ptgs2","0"
"236","C12181421","Core","L2/3 Ptgs2","0"
"237","C12181422","Core","L2/3 Ptgs2","0"
"238","C12181423","Core","L2/3 Ptgs2","0"
"239","C12181424","Core","L2/3 Ptgs2","0"
"240","C12181425","Core","L2/3 Ptgs2","0"
"241","C12181426","Transition","L2/3 Ptgs2","L2 Ngb"
"242","C12181427","Core","L2/3 Ptgs2","0"
"243","C12181428","Core","L2/3 Ptgs2","0"
"244","C12181429","Core","L2/3 Ptgs2","0"
"245","C12181430","Core","L2/3 Ptgs2","0"
"246","C12181431","Core","L2/3 Ptgs2","0"
"247","C12181432","Core","L2/3 Ptgs2","0"
"248","C13090625","Core","L2/3 Ptgs2","0"
"249","C13090626","Core","L2/3 Ptgs2","0"
"250","C13090627","Core","L2/3 Ptgs2","0"
"251","C13090628","Core","L2/3 Ptgs2","0"
"252","C13090629","Core","L2/3 Ptgs2","0"
"253","C13090630","Core","L2/3 Ptgs2","0"
"254","C13090631","Core","L2/3 Ptgs2","0"
"255","C13090632","Core","L2/3 Ptgs2","0"
"256","Ct02061539","Core","Endo Myl9","0"
"257","Ct02061540","Core","Endo Xdh","0"
"258","Ct02061541","Core","Endo Myl9","0"
"259","Ct02061542","Core","Endo Myl9","0"
"260","Ct02061543","Core","Endo Xdh","0"
"261","Ct02061544","Core","Endo Xdh","0"
"262","Ct02061545","Core","Endo Xdh","0"
"263","Ct02061546","Core","Endo Xdh","0"
"264","Ct02061547","Core","Endo Myl9","0"
"265","Ct02061548","Core","Endo Myl9","0"
"266","Ct12181401","Core","L6b Serpinb11","0"
"267","Ct12181402","Core","L6b Rgs12","0"
"268","Ct12181403","Core","L6b Rgs12","0"
"269","Ct12181404","Core","L6b Rgs12","0"
"270","Ct12181406","Core","L6b Serpinb11","0"
"271","Ct12181407","Core","L6b Serpinb11","0"
"272","Ct12181408","Core","L6b Serpinb11","0"
"273","Ct12181410","Core","L6b Rgs12","0"
"274","Ct12181411","Core","L6b Rgs12","0"
"275","Ct12181412","Core","L6b Rgs12","0"
"276","Ct12181413","Core","L6b Rgs12","0"
"277","Ct12181414","Core","L6b Serpinb11","0"
"278","Ct12181416","Transition","L6b Rgs12","L6a Sla"
"279","D08281408","Core","Vip Sncg","0"
"280","D08281409","Core","Sncg","0"
"281","D08281410","Core","Ndnf Car4","0"
"282","D08281411","Core","Pvalb Gpx3","0"
"283","D08281412","Core","Igtp","0"
"284","D08281413","Core","Ndnf Cxcl14","0"
"285","D08281414","Core","Sncg","0"
"286","D08281415","Core","Sst Cbln4","0"
"287","D08281416","Core","Pvalb Cpne5","0"
"288","D08281417","Core","Vip Gpc3","0"
"289","D08281418","Core","Pvalb Rspo2","0"
"290","D08281419","Core","Oligo 9630013A20Rik ","0"
"291","D08281420","Core","Pvalb Gpx3","0"
"292","D09111401","Core","Vip Chat","0"
"293","D09111402","Transition","Vip Mybpc1","Vip Parm1"
"294","D09111403","Core","Astro Aqp4","0"
"295","D09111404","Core","Sst Cbln4","0"
"296","D09111405","Core","Smad3","0"
"297","D09111406","Core","Vip Chat","0"
"298","D09111407","Core","Ndnf Car4","0"
"299","D09111408","Core","Vip Parm1","0"
"300","D09111409","Core","Vip Sncg","0"
"301","D09111410","Transition","Vip Chat","Vip Gpc3"
"302","D09111411","Core","Astro Aqp4","0"
"303","D09111412","Core","Smad3","0"
"304","D09111413","Transition","Smad3","Ndnf Cxcl14"
"305","D09111414","Core","Igtp","0"
"306","D09111415","Core","Pvalb Cpne5","0"
"307","D09111416","Core","Vip Chat","0"
"308","D09121433","Core","Astro Aqp4","0"
"309","D09121434","Core","Sncg","0"
"310","D09121435","Transition","Ndnf Cxcl14","Vip Parm1"
"311","D09121438","Core","Vip Gpc3","0"
"312","D09121439","Core","Vip Mybpc1","0"
"313","D09121440","Core","Vip Chat","0"
"314","D09121441","Core","Ndnf Cxcl14","0"
"315","D09121442","Core","Sst Cbln4","0"
"316","D09121443","Core","Vip Chat","0"
"317","D09121444","Core","Astro Aqp4","0"
"318","D09121445","Core","Smad3","0"
"319","D09121446","Core","Astro Aqp4","0"
"320","D09121447","Core","L2 Ngb","0"
"321","D09121448","Core","Pvalb Wt1","0"
"322","D10011405","Core","Oligo Opalin","0"
"323","D10011406","Transition","Vip Gpc3","Vip Parm1"
"324","D10011407","Core","Vip Parm1","0"
"325","D10011408","Core","Pvalb Wt1","0"
"326","D10011409","Core","Smad3","0"
"327","D10011410","Core","Smad3","0"
"328","D10011411","Core","L2/3 Ptgs2","0"
"329","D10011413","Transition","L2 Ngb","L2/3 Ptgs2"
"330","D10011414","Core","Vip Gpc3","0"
"331","D10011415","Transition","Ndnf Car4","Ndnf Cxcl14"
"332","D10011417","Core","Ndnf Cxcl14","0"
"333","D10011418","Transition","Pvalb Wt1","Pvalb Rspo2"
"334","D10011419","Core","Ndnf Cxcl14","0"
"335","D10011420","Transition","Pvalb Tpbg","Pvalb Tacr3"
"336","D10011421","Core","Pvalb Gpx3","0"
"337","D10011422","Core","Ndnf Cxcl14","0"
"338","D10011423","Core","Vip Chat","0"
"339","D10011424","Core","Pvalb Gpx3","0"
"340","D10011425","Core","Smad3","0"
"341","D10011426","Core","Vip Gpc3","0"
"342","D10011427","Core","Smad3","0"
"343","D10011428","Core","Pvalb Tacr3","0"
"344","D10011429","Core","L2/3 Ptgs2","0"
"345","D10011430","Core","Smad3","0"
"346","D10011431","Core","Sst Cbln4","0"
"347","D10011432","Core","Smad3","0"
"348","D10021425","Core","Vip Sncg","0"
"349","D10021426","Core","Pvalb Tpbg","0"
"350","D10021427","Core","Sst Myh8","0"
"351","D10021428","Core","Ndnf Cxcl14","0"
"352","D10021435","Core","Pvalb Cpne5","0"
"353","D10021436","Core","Pvalb Wt1","0"
"354","D10021437","Core","Ndnf Car4","0"
"355","D10021438","Core","Oligo 9630013A20Rik ","0"
"356","F08041419","Core","OPC Pdgfra","0"
"357","F08211421","Core","L2 Ngb","0"
"358","F08211422","Core","Astro Aqp4","0"
"359","F08211423","Core","Astro Aqp4","0"
"360","F08211424","Core","Astro Aqp4","0"
"361","F08211425","Core","Astro Aqp4","0"
"362","F08211426","Core","L2/3 Ptgs2","0"
"363","F08211427","Core","L2/3 Ptgs2","0"
"364","F08211428","Core","OPC Pdgfra","0"
"365","F08211429","Transition","L2 Ngb","L2/3 Ptgs2"
"366","F08211430","Core","OPC Pdgfra","0"
"367","F08211431","Core","OPC Pdgfra","0"
"368","F08211432","Core","Oligo 9630013A20Rik ","0"
"369","F08211433","Core","OPC Pdgfra","0"
"370","F08211434","Core","OPC Pdgfra","0"
"371","F08211435","Core","Astro Aqp4","0"
"372","F08211436","Core","Oligo Opalin","0"
"373","F08211437","Core","Astro Aqp4","0"
"374","F08211438","Core","Astro Aqp4","0"
"375","G01131501","Core","Pvalb Tacr3","0"
"376","G01131502","Core","Pvalb Obox3","0"
"377","G01131504","Core","Pvalb Obox3","0"
"378","G01131505","Core","Pvalb Obox3","0"
"379","G01131506","Core","Pvalb Tacr3","0"
"380","G01131507","Core","Pvalb Tacr3","0"
"381","G01131508","Core","Pvalb Tacr3","0"
"382","G01131509","Transition","Pvalb Wt1","Pvalb Rspo2"
"383","G01131510","Core","Pvalb Obox3","0"
"384","G01131511","Core","Pvalb Obox3","0"
"385","G01131512","Core","Pvalb Obox3","0"
"386","G01131513","Core","Pvalb Obox3","0"
"387","G01131514","Transition","Pvalb Rspo2","Pvalb Wt1"
"388","G01131515","Transition","Pvalb Tacr3","Pvalb Wt1"
"389","G01131516","Core","Pvalb Wt1","0"
"390","G01131517","Core","Pvalb Tacr3","0"
"391","G01131518","Core","Pvalb Gpx3","0"
"392","G01131519","Core","Pvalb Obox3","0"
"393","G01131520","Core","Pvalb Tacr3","0"
"394","G01131521","Core","Pvalb Rspo2","0"
"395","G01131522","Transition","Pvalb Wt1","Pvalb Tacr3"
"396","G01131523","Core","Pvalb Tacr3","0"
"397","G01131524","Core","Pvalb Tacr3","0"
"398","G01131526","Core","Pvalb Obox3","0"
"399","G01131527","Core","Pvalb Obox3","0"
"400","G01131528","Core","Pvalb Obox3","0"
"401","G01131529","Core","Pvalb Obox3","0"
"402","G01131530","Transition","Pvalb Obox3","Pvalb Gpx3"
"403","G01131531","Transition","Pvalb Obox3","Pvalb Gpx3"
"404","G01131532","Transition","Pvalb Tacr3","Pvalb Wt1"
"405","G01131534","Core","L5b Tph2","0"
"406","G01131535","Core","Pvalb Wt1","0"
"407","G01131536","Core","Pvalb Obox3","0"
"408","G01131537","Core","Pvalb Tacr3","0"
"409","G01131538","Core","Pvalb Tacr3","0"
"410","G01131539","Core","Pvalb Obox3","0"
"411","G01131540","Core","Pvalb Wt1","0"
"412","G01131541","Transition","Pvalb Obox3","Pvalb Wt1"
"413","G01131542","Core","Pvalb Wt1","0"
"414","G01131543","Core","Pvalb Rspo2","0"
"415","G01131544","Core","Pvalb Tacr3","0"
"416","G01131545","Core","Pvalb Wt1","0"
"417","G01131546","Core","Pvalb Wt1","0"
"418","G01131547","Transition","Pvalb Rspo2","Pvalb Wt1"
"419","G08041425","Core","Pvalb Tacr3","0"
"420","G08041426","Core","Pvalb Tacr3","0"
"421","G08041427","Core","Pvalb Tacr3","0"
"422","G08041428","Transition","Pvalb Tacr3","Pvalb Wt1"
"423","G08041429","Core","Pvalb Tacr3","0"
"424","G08041430","Transition","Pvalb Wt1","Pvalb Gpx3"
"425","G08041431","Transition","Pvalb Wt1","Pvalb Tacr3"
"426","G08041432","Core","Pvalb Tacr3","0"
"427","G08041433","Core","Pvalb Tacr3","0"
"428","G08041434","Core","Pvalb Tacr3","0"
"429","G08041435","Core","Pvalb Tacr3","0"
"430","G08041436","Core","Pvalb Wt1","0"
"431","G08041438","Core","Pvalb Tacr3","0"
"432","G08041439","Core","Pvalb Tacr3","0"
"433","G08041440","Core","Pvalb Wt1","0"
"434","G08041441","Core","Pvalb Wt1","0"
"435","G08041442","Core","Pvalb Tacr3","0"
"436","G08041443","Core","Pvalb Wt1","0"
"437","G08041444","Core","Pvalb Tacr3","0"
"438","G08041445","Transition","Pvalb Wt1","Pvalb Tacr3"
"439","G08041446","Core","Pvalb Tacr3","0"
"440","G08041447","Core","Pvalb Wt1","0"
"441","G08041448","Core","Pvalb Wt1","0"
"442","G08051449","Transition","Pvalb Rspo2","Pvalb Wt1"
"443","G08051450","Core","Pvalb Rspo2","0"
"444","G08051451","Core","Pvalb Tacr3","0"
"445","G08051452","Core","Pvalb Wt1","0"
"446","G08051453","Core","Pvalb Wt1","0"
"447","G08051454","Core","Pvalb Wt1","0"
"448","G08051457","Core","Pvalb Wt1","0"
"449","G08051458","Core","Pvalb Rspo2","0"
"450","G08051459","Core","Pvalb Rspo2","0"
"451","G08051460","Core","Pvalb Wt1","0"
"452","G08051461","Core","Pvalb Rspo2","0"
"453","G08051462","Core","Pvalb Wt1","0"
"454","G08051463","Transition","Pvalb Obox3","Pvalb Wt1"
"455","G08051465","Core","Pvalb Wt1","0"
"456","G08051466","Core","Pvalb Wt1","0"
"457","G08051467","Core","Pvalb Wt1","0"
"458","G08051468","Transition","Pvalb Rspo2","Pvalb Wt1"
"459","G08051469","Core","Pvalb Wt1","0"
"460","G08051470","Core","Pvalb Wt1","0"
"461","G08051471","Transition","Pvalb Rspo2","Pvalb Wt1"
"462","H08041401","Transition","Ndnf Car4","Ndnf Cxcl14"
"463","H08041402","Transition","Ndnf Car4","Ndnf Cxcl14"
"464","H08041403","Core","Vip Gpc3","0"
"465","H08041404","Core","Vip Chat","0"
"466","H08041405","Core","Ndnf Cxcl14","0"
"467","H08041406","Core","Vip Parm1","0"
"468","H08041407","Core","Vip Chat","0"
"469","H08041408","Core","Ndnf Cxcl14","0"
"470","H08041409","Core","Ndnf Cxcl14","0"
"471","H08041410","Core","Ndnf Cxcl14","0"
"472","H08041411","Core","Ndnf Car4","0"
"473","H08041412","Core","Ndnf Cxcl14","0"
"474","H08041413","Core","Vip Parm1","0"
"475","H08041414","Core","Vip Parm1","0"
"476","H08041415","Core","Ndnf Cxcl14","0"
"477","H08041416","Transition","Ndnf Car4","Ndnf Cxcl14"
"478","H08041417","Transition","Ndnf Car4","Ndnf Cxcl14"
"479","H08041418","Core","Ndnf Car4","0"
"480","H08041419","Core","Vip Chat","0"
"481","H08041420","Core","Vip Chat","0"
"482","H08041421","Transition","Vip Mybpc1","Vip Parm1"
"483","H08041422","Core","Ndnf Car4","0"
"484","H08041423","Core","Vip Parm1","0"
"485","H08041424","Core","Ndnf Car4","0"
"486","H08041425","Core","Vip Parm1","0"
"487","H08041426","Transition","Ndnf Cxcl14","Smad3"
"488","H08041427","Core","Vip Mybpc1","0"
"489","H08041428","Core","Ndnf Cxcl14","0"
"490","H08041429","Core","Vip Sncg","0"
"491","H08041430","Core","Ndnf Car4","0"
"492","H08041431","Core","Vip Chat","0"
"493","H08041432","Core","Smad3","0"
"494","H08041433","Core","Ndnf Car4","0"
"495","H08041434","Core","Vip Mybpc1","0"
"496","H08041435","Core","Ndnf Car4","0"
"497","H08041436","Transition","Vip Sncg","Vip Mybpc1"
"498","H08041437","Core","Vip Chat","0"
"499","H08041438","Core","Vip Chat","0"
"500","H08041439","Core","Vip Parm1","0"
"501","H08041440","Core","Vip Chat","0"
"502","H08041441","Core","Vip Mybpc1","0"
"503","H08041442","Core","Vip Mybpc1","0"
"504","H08041443","Core","Ndnf Cxcl14","0"
"505","H08041444","Core","Ndnf Car4","0"
"506","H08041445","Core","Vip Mybpc1","0"
"507","H08041446","Core","Ndnf Cxcl14","0"
"508","H08041447","Core","Vip Parm1","0"
"509","H08041448","Core","Vip Parm1","0"
"510","H08051401","Core","Vip Sncg","0"
"511","H08051402","Core","Vip Mybpc1","0"
"512","H08051403","Core","Ndnf Cxcl14","0"
"513","H08051404","Core","Vip Mybpc1","0"
"514","H08051405","Core","Ndnf Cxcl14","0"
"515","H08051406","Transition","Vip Parm1","Vip Mybpc1"
"516","H08051407","Transition","Ndnf Car4","Ndnf Cxcl14"
"517","H08051408","Core","Vip Mybpc1","0"
"518","H08051409","Core","Vip Chat","0"
"519","H08051410","Core","Ndnf Cxcl14","0"
"520","H08051411","Core","Ndnf Cxcl14","0"
"521","H08051412","Core","Ndnf Cxcl14","0"
"522","H08051413","Core","Ndnf Cxcl14","0"
"523","H08051415","Transition","Vip Parm1","Vip Chat"
"524","H08051416","Core","Vip Parm1","0"
"525","H08051417","Core","Ndnf Car4","0"
"526","H08051418","Core","Vip Parm1","0"
"527","H08051419","Core","Vip Parm1","0"
"528","H08051420","Core","Vip Mybpc1","0"
"529","H08051421","Core","Vip Parm1","0"
"530","H08051422","Core","Vip Parm1","0"
"531","H08051423","Core","Ndnf Cxcl14","0"
"532","H08051424","Transition","L6a Sla","Pvalb Gpx3"
"533","H08051425","Transition","L6b Serpinb11","L6b Rgs12"
"534","H08051426","Core","Vip Gpc3","0"
"535","H08051427","Transition","Vip Parm1","Vip Gpc3"
"536","H08051428","Core","Vip Gpc3","0"
"537","H08051429","Core","Vip Mybpc1","0"
"538","H08051430","Core","Vip Gpc3","0"
"539","H08051431","Core","Sst Cbln4","0"
"540","H08051432","Core","L6b Serpinb11","0"
"541","H08051433","Core","Vip Gpc3","0"
"542","H08051434","Core","Ndnf Cxcl14","0"
"543","H08051435","Core","Sst Tacstd2","0"
"544","H08051436","Core","Sst Th","0"
"545","H08051437","Core","Sst Cbln4","0"
"546","H08051438","Transition","Pvalb Tacr3","Pvalb Gpx3"
"547","H08051439","Transition","L5a Batf3","L6a Sla"
"548","H08051440","Core","Ndnf Cxcl14","0"
"549","H08051441","Core","Vip Chat","0"
"550","H08051442","Core","Sst Tacstd2","0"
"551","H08051443","Core","Sncg","0"
"552","H08051444","Core","Sst Th","0"
"553","H08051445","Core","Vip Gpc3","0"
"554","H08051446","Core","L6b Serpinb11","0"
"555","H08051447","Core","Sst Tacstd2","0"
"556","H08051448","Core","L6a Sla","0"
"557","H11031401","Core","L6b Rgs12","0"
"558","H11031402","Core","L6b Serpinb11","0"
"559","H11031403","Transition","L6b Serpinb11","L6b Rgs12"
"560","H11031404","Core","L6b Rgs12","0"
"561","H11031405","Core","L6b Rgs12","0"
"562","H11031406","Core","L6b Serpinb11","0"
"563","H11031407","Core","Vip Gpc3","0"
"564","H11031408","Core","Vip Sncg","0"
"565","H11031409","Transition","Sst Cbln4","Vip Chat"
"566","H11031410","Core","L6b Serpinb11","0"
"567","H11031411","Core","L6b Serpinb11","0"
"568","H11031412","Transition","L6b Serpinb11","L6b Rgs12"
"569","H11031417","Transition","L6b Serpinb11","L6b Rgs12"
"570","H11031418","Core","L6a Sla","0"
"571","H11031419","Core","L6a Sla","0"
"572","H11031420","Core","L6b Rgs12","0"
"573","H11031421","Core","Sncg","0"
"574","H11031422","Core","L6b Rgs12","0"
"575","H11031423","Transition","L6a Sla","L6b Rgs12"
"576","H11031424","Core","Sncg","0"
"577","H11031425","Core","L6b Serpinb11","0"
"578","H11031426","Core","L6b Rgs12","0"
"579","H11031427","Core","Pvalb Cpne5","0"
"580","H11031428","Core","Sncg","0"
"581","H11031429","Core","L6b Serpinb11","0"
"582","H11031430","Core","L6b Serpinb11","0"
"583","H11031431","Core","Sncg","0"
"584","H11031432","Core","L6b Serpinb11","0"
"585","K01141501","Core","Vip Gpc3","0"
"586","K01141502","Core","Sst Myh8","0"
"587","K01141503","Core","L5a Batf3","0"
"588","K01141504","Core","Sst Chodl","0"
"589","K01141505","Core","Pvalb Gpx3","0"
"590","K01141506","Transition","Sst Th","Pvalb Gpx3"
"591","K01141508","Core","Sst Myh8","0"
"592","K01141509","Core","Vip Gpc3","0"
"593","K01141510","Transition","Sst Tacstd2","Sst Cbln4"
"594","K01141511","Core","Ndnf Cxcl14","0"
"595","K01141512","Core","Pvalb Gpx3","0"
"596","K01141513","Core","Sncg","0"
"597","K01141514","Core","Pvalb Gpx3","0"
"598","K06271401","Core","Sst Th","0"
"599","K06271402","Core","Sst Myh8","0"
"600","K06271403","Core","Sst Myh8","0"
"601","K06271404","Core","Sst Myh8","0"
"602","K06271405","Core","L5a Batf3","0"
"603","K06271406","Core","Sst Th","0"
"604","K06271407","Core","Sst Myh8","0"
"605","K06271408","Core","Sst Myh8","0"
"606","K06271409","Transition","L5a Batf3","L5a Tcerg1l"
"607","K06271410","Core","Sst Th","0"
"608","K06271411","Transition","L5a Batf3","L5a Pde1c"
"609","K06271412","Core","Pvalb Gpx3","0"
"610","K06271413","Core","Sst Myh8","0"
"611","K06271414","Core","Sst Cdk6","0"
"612","K06271415","Core","Sst Myh8","0"
"613","K06271416","Core","Sst Tacstd2","0"
"614","K06271417","Core","Sst Myh8","0"
"615","K06271418","Core","Sst Chodl","0"
"616","K06271420","Core","Sst Myh8","0"
"617","K06271421","Core","Sst Myh8","0"
"618","K06271422","Core","Sst Myh8","0"
"619","K06271423","Core","Sst Myh8","0"
"620","K06271424","Core","Sst Myh8","0"
"621","K06271425","Core","Sst Myh8","0"
"622","K06271426","Core","L5a Batf3","0"
"623","K06271427","Core","Sst Myh8","0"
"624","K06271428","Core","Sst Tacstd2","0"
"625","K06271429","Core","Sst Th","0"
"626","K06271430","Transition","Sst Cdk6","Sst Myh8"
"627","K06271433","Core","Pvalb Gpx3","0"
"628","K06271434","Core","Sst Cdk6","0"
"629","K06271435","Core","Sst Cdk6","0"
"630","K06271437","Core","Sst Myh8","0"
"631","K06271438","Core","Sst Myh8","0"
"632","K06271439","Transition","Sst Myh8","Sst Cdk6"
"633","K06271440","Core","Sst Th","0"
"634","K06271441","Transition","Sst Cdk6","Sst Myh8"
"635","K06271442","Transition","L5a Pde1c","L5a Batf3"
"636","K06271443","Core","Sst Myh8","0"
"637","K06271444","Core","Sst Th","0"
"638","K06271445","Core","Sst Th","0"
"639","K06271446","Core","Sst Myh8","0"
"640","K06271447","Transition","Sst Myh8","Sst Cdk6"
"641","K06271448","Core","Sst Myh8","0"
"642","K08211415","Core","L5a Batf3","0"
"643","K08211416","Core","Sst Myh8","0"
"644","K08211417","Core","Sst Cdk6","0"
"645","K08211418","Core","Vip Sncg","0"
"646","K08211419","Transition","Pvalb Wt1","Pvalb Rspo2"
"647","K08211420","Core","L5a Batf3","0"
"648","K10021401","Transition","Pvalb Gpx3","Pvalb Obox3"
"649","K10021402","Core","Pvalb Gpx3","0"
"650","K10021403","Core","Sst Tacstd2","0"
"651","K10021404","Core","L5a Pde1c","0"
"652","K10021405","Core","L5a Pde1c","0"
"653","K10021406","Core","L5a Pde1c","0"
"654","K10021407","Core","Sst Myh8","0"
"655","K10021408","Core","Vip Gpc3","0"
"656","K10021409","Core","L5a Pde1c","0"
"657","K10021410","Transition","L5a Batf3","L5a Pde1c"
"658","K10021411","Core","L5a Batf3","0"
"659","K10021412","Core","L6a Mgp","0"
"660","K10021413","Core","Sst Cdk6","0"
"661","K10021414","Core","Sst Chodl","0"
"662","K10021415","Core","Sst Myh8","0"
"663","K10021416","Core","Sst Cdk6","0"
"664","K10021417","Core","Sst Cdk6","0"
"665","K10021418","Core","Vip Gpc3","0"
"666","K10021419","Core","L5a Batf3","0"
"667","K10021420","Core","Sst Cdk6","0"
"668","K10021421","Core","Pvalb Gpx3","0"
"669","M02121521","Core","Sst Cbln4","0"
"670","M02121522","Core","Sst Cbln4","0"
"671","M02121523","Core","Sst Cbln4","0"
"672","M02121524","Core","Sst Chodl","0"
"673","M02121525","Core","Sst Cbln4","0"
"674","M02121526","Core","Sst Cbln4","0"
"675","M02121527","Core","Sst Cbln4","0"
"676","M02121528","Core","Sst Cbln4","0"
"677","M02121529","Core","Sst Cbln4","0"
"678","M02121530","Core","Sst Cbln4","0"
"679","M02121531","Core","Sst Cbln4","0"
"680","M02121532","Core","Sst Cbln4","0"
"681","M02121533","Core","L2 Ngb","0"
"682","M02121534","Core","Sst Cbln4","0"
"683","M02121535","Core","Sst Cbln4","0"
"684","M02121536","Core","OPC Pdgfra","0"
"685","M02121537","Core","Sst Cbln4","0"
"686","M02121538","Core","Sst Chodl","0"
"687","M02121539","Transition","Oligo 9630013A20Rik ","Oligo Opalin"
"688","M02121540","Core","L2/3 Ptgs2","0"
"689","M02131546","Core","Sst Tacstd2","0"
"690","M02131547","Transition","Sst Cdk6","Sst Cbln4"
"691","M02131548","Core","Sst Th","0"
"692","M02271401","Core","Sst Cbln4","0"
